Disease,Symptoms,Precautions,Drugs
Parkinson's Disease,Tremors - Slowness of movement - Stiffness - Impaired balance - Shuffling walk,Medications - Physical therapy - Deep brain stimulation - Speech therapy,Levodopa - Pramipexole
HIV/AIDS,Fever - Fatigue - Weight loss - Night sweats - Swollen lymph nodes,Antiretroviral therapy (ART) - Safe sex practices - Regular medical check-ups,Tenofovir - Emtricitabine
Cystic Fibrosis,Chronic cough - Difficulty breathing - Recurrent lung infections - Poor growth - Salty-tasting skin,Physiotherapy - Medications - Nutritional supplements - Lung transplant,Ivacaftor - Tobramycin
Crohn's Disease,Abdominal pain - Diarrhea - Weight loss - Fatigue - Blood in stool,Medications - Nutritional support - Lifestyle modifications - Surgery,Infliximab - Adalimumab
Ulcerative Colitis,Abdominal pain - Diarrhea - Blood in stool - Urgency to defecate - Fatigue,Medications - Dietary modifications - Surgery,Mesalamine - Azathioprine
Huntington's Disease,Chorea (involuntary movements) - Cognitive decline - Behavioral changes - Difficulty swallowing - Weight loss,Symptomatic treatment - Supportive care - Genetic counseling,No specific drugs for disease modification
Endometriosis,Pelvic pain - Painful periods - Pain during intercourse - Infertility - Heavy menstrual bleeding,Pain medications - Hormonal therapy - Surgical intervention,NSAIDs - Oral contraceptives
Polycystic Ovary Syndrome (PCOS),Irregular periods - Weight gain - Excess hair growth - Acne - Fertility issues,Lifestyle modifications - Oral contraceptives - Insulin-sensitizing medications,Metformin - Spironolactone
Fibromyalgia,Chronic pain - Fatigue - Sleep disturbances - Joint stiffness - Headaches,Physical therapy - Medications - Stress management - Sleep hygiene,Pregabalin - Duloxetine
Hemorrhoids,Rectal bleeding - Itching - Pain during bowel movements - Swelling around the anus,High-fiber diet - Topical treatments - Warm baths - Hydration,Witch hazel - Hydrocortisone
Epilepsy,Seizures - Temporary confusion - Uncontrollable movements - Loss of consciousness - Staring spells,Medications - Seizure management plan - Lifestyle adjustments,Phenytoin - Carbamazepine
Schizophrenia,Delusions - Hallucinations - Disorganized thinking - Lack of motivation - Social withdrawal,Medications - Psychotherapy - Supportive care,Risperidone - Olanzapine
Bipolar Disorder,Manic episodes - Depressive episodes - Mood swings - Impaired judgment - Energy fluctuations,Medications - Psychotherapy - Mood stabilizers - Supportive care,Lithium - Valproate
OCD (Obsessive-Compulsive Disorder),Obsessions - Compulsions - Anxiety - Intrusive thoughts - Ritualistic behaviors,Exposure and response prevention (ERP) - Medications - Cognitive-behavioral therapy (CBT),Fluoxetine - Sertraline
PTSD (Post-Traumatic Stress Disorder),Flashbacks - Nightmares - Anxiety - Hypervigilance - Avoidance behaviors,Trauma-focused therapy - Medications - Supportive care,Sertraline - Paroxetine
Anorexia Nervosa,Extreme weight loss - Fear of gaining weight - Distorted body image - Amenorrhea - Food restriction,Psychotherapy - Nutritional rehabilitation - Medical monitoring,Olanzapine - Fluoxetine
Bulimia Nervosa,Binge eating - Purging behaviors - Fear of weight gain - Dental issues - Swollen glands,Cognitive-behavioral therapy (CBT) - Nutritional counseling - Medications,Fluoxetine - Sertraline
Sleep Apnea,Loud snoring - Choking or gasping during sleep - Daytime sleepiness - Difficulty concentrating - Morning headaches,Continuous positive airway pressure (CPAP) - Weight loss - Positional therapy - Dental appliances,CPAP machine - BiPAP machine
Restless Legs Syndrome (RLS),Uncomfortable sensations in legs - Urge to move legs - Disrupted sleep - Tingling or crawling sensations,Medications - Lifestyle adjustments - Iron supplements,Pramipexole - Ropinirole
Interstitial Cystitis (IC),Pelvic pain - Urgency to urinate - Frequent urination - Pain during intercourse - Painful bladder,Bladder training - Dietary modifications - Medications - Physical therapy,Elmiron - Amitriptyline
Multiple Sclerosis,Fatigue - Numbness or tingling - Muscle weakness - Blurred or double vision - Problems with coordination,Medications - Physical therapy - Lifestyle adjustments - Supportive care,Fingolimod - Interferon beta-1a
Amyotrophic Lateral Sclerosis (ALS),Muscle weakness - Difficulty speaking - Difficulty swallowing - Muscle cramps - Twitching,Supportive care - Assistive devices - Medications - Respiratory support,Riluzole - Edaravone
Pulmonary Fibrosis,Shortness of breath - Persistent cough - Fatigue - Chest discomfort - Finger clubbing,Medications - Oxygen therapy - Pulmonary rehabilitation - Lung transplant,Pirfenidone - Nintedanib
Sickle Cell Anemia,Anemia - Painful crises - Jaundice - Fatigue - Frequent infections,Hydration - Pain management - Blood transfusions - Hydroxyurea,Hydroxyurea - L-glutamine
Myasthenia Gravis,Muscle weakness - Fatigue - Difficulty swallowing - Double vision - Facial drooping,Medications - Thymectomy - Plasmapheresis - Supportive care,Pyridostigmine - Immunosuppressants
Celiac Disease,Abdominal pain - Diarrhea - Bloating - Fatigue - Joint pain,Gluten-free diet - Avoid cross-contamination - Nutrient supplementation,Adalimumab - Infliximab
Eczema,Itchy skin - Red or brown patches - Dry, cracked skin - Swelling - Blisters,Moisturize regularly - Avoid irritants - Topical steroids - Antihistamines,Hydrocortisone - Desonide
Chronic Kidney Disease,Fatigue - Swelling - Shortness of breath - Confusion - Decreased urine output,Low-protein diet - Medications - Dialysis - Fluid control,Angiotensin-converting enzyme (ACE) inhibitors - Diuretics
Pancreatitis,Abdominal pain - Nausea - Vomiting - Fever - Rapid pulse,Fasting - Pain management - Nutritional support - Avoid alcohol and fatty foods,Morphine - Omeprazole
Dyslexia,Difficulty reading - Spelling challenges - Slow reading - Poor handwriting - Difficulty with phonics,Educational interventions - Reading programs - Speech therapy,No specific drugs for treatment
Autism Spectrum Disorder (ASD),Social challenges - Repetitive behaviors - Communication difficulties - Sensory sensitivities,Early intervention - Applied Behavior Analysis (ABA) - Speech therapy - Occupational therapy,No specific drugs for core symptoms
Peripheral Artery Disease (PAD),Leg pain during walking - Numbness or weakness in limbs - Cold limbs - Slow healing wounds - Erectile dysfunction,Smoking cessation - Regular exercise - Medications - Healthy diet,Aspirin - Clopidogrel
Diverticulitis,Abdominal pain - Fever - Nausea - Changes in bowel habits - Bloating,Clear liquid diet - Antibiotics - Rest - Avoid seeds and nuts,Ciprofloxacin - Metronidazole
Bell's Palsy,Facial weakness - Drooping on one side of the face - Difficulty closing eye - Drooling - Loss of taste,Physical therapy - Eye protection - Medications - Supportive care,Corticosteroids - Antiviral medications
Tuberculosis (TB),Persistent cough - Weight loss - Night sweats - Fatigue - Chest pain,Isolation - Medications - Good ventilation - Regular check-ups,Isoniazid - Rifampin
Eating Disorders,Extreme preoccupation with food, weight, and body shape - Binge eating - Compensatory behaviors (e.g., vomiting, excessive exercise) - Social withdrawal - Frequent dieting,Psychotherapy - Nutritional counseling - Medications - Supportive care,Fluoxetine - Olanzapine
Glaucoma,Gradual loss of peripheral vision - Eye pain - Blurred vision - Halos around lights - Nausea,Regular eye exams - Medications - Laser therapy - Surgery,Latanoprost - Timolol
Ovarian Cancer,Abdominal bloating - Pelvic pain - Changes in bowel habits - Unexplained weight loss - Fatigue,Regular check-ups - Surgery - Chemotherapy - Targeted therapy,Cisplatin - Paclitaxel
Prostate Cancer,Frequent urination - Difficulty urinating - Blood in urine or semen - Erectile dysfunction - Pelvic pain,Regular check-ups - Biopsy - Surgery - Radiation therapy,Leuprolide - Abiraterone
Esophageal Cancer,Difficulty swallowing - Unintentional weight loss - Chest pain - Chronic cough - Hoarseness,Endoscopy - Surgery - Chemotherapy - Radiation therapy,Cisplatin - 5-Fluorouracil
Testicular Cancer,Lump or swelling in testicle - Testicular pain or discomfort - Fluid buildup in scrotum - Back pain - Breast enlargement,Self-exams - Surgery - Chemotherapy - Radiation therapy,Cisplatin - Bleomycin
Leukemia,Fatigue - Pale skin - Frequent infections - Unexplained weight loss - Easy bruising,Chemotherapy - Bone marrow transplant - Supportive care,Imatinib - Dasatinib
Hemophilia,Easy bruising - Joint pain and swelling - Excessive bleeding - Nosebleeds - Blood in urine or stool,Factor replacement therapy - Desmopressin - Joint protection - Avoid aspirin and NSAIDs,Factor VIII concentrate - Recombinant factor IX
Polio,Muscle weakness - Fatigue - Fever - Difficulty swallowing - Joint pain,Vaccination - Supportive care - Physical therapy - Breathing support,No specific drugs for treatment
Lyme Disease,Fever - Rash - Headache - Fatigue - Joint pain,Avoid tick-infested areas - Tick checks - Antibiotics - Prompt removal of ticks,Doxycycline - Amoxicillin
Sleep Disorders,Insomnia - Sleep apnea - Narcolepsy - Restless Legs Syndrome - Nightmares,Sleep hygiene - Behavioral therapy - Medications,Eszopiclone - Modafinil
Rabies,Fever - Headache - Nausea - Agitation - Difficulty swallowing,Preventive vaccination - Immediate wound care - Post-exposure prophylaxis,Rabies vaccine - Rabies immune globulin
Cirrhosis,Fatigue - Weakness - Abdominal swelling - Jaundice - Easy bruising,Avoid alcohol - Healthy diet - Medications - Regular check-ups,Ursodiol - Lactulose
Huntington's Disease,Chorea (involuntary movements) - Cognitive decline - Behavioral changes - Difficulty swallowing - Weight loss,Symptomatic treatment - Supportive care - Genetic counseling,No specific drugs for disease modification
Guillain-Barré Syndrome,Tingling or weakness starting in the legs - Ascending paralysis - Difficulty breathing - Loss of reflexes,Supportive care - Plasmapheresis - Intravenous immunoglobulin,IVIG - Plasma exchange
Rheumatic Fever,Fever - Joint pain - Chest pain - Skin rash - Shortness of breath,Antibiotics - Anti-inflammatory medications - Rest - Regular check-ups,Penicillin - Aspirin
Addison's Disease,Chronic fatigue - Weight loss - Muscle weakness - Low blood pressure - Darkening of skin,Adequate salt intake - Hormone replacement therapy,Hydrocortisone - Fludrocortisone
Cushing's Syndrome,Weight gain - High blood pressure - Fatigue - Round face - Osteoporosis,Tumor removal - Gradual reduction of corticosteroid medication,Metyrapone - Ketoconazole
Cholera,Severe diarrhea - Vomiting - Dehydration - Muscle cramps - Rapid heart rate,Hydration - Oral rehydration solutions - Antibiotics,Tetracycline - Azithromycin
Typhoid Fever,Prolonged fever - Headache - Weakness - Abdominal pain - Rose-colored spots on the trunk,Hygiene practices - Antibiotics - Vaccination,Ciprofloxacin - Azithromycin
Yellow Fever,Fever - Jaundice - Headache - Muscle pain - Vomiting,Preventive vaccination - Mosquito control - Avoidance of mosquito bites,Yellow fever vaccine
Lung Cancer,Chronic cough - Chest pain - Shortness of breath - Weight loss - Hoarseness,Smoking cessation - Surgery - Chemotherapy - Radiation therapy,Cisplatin - Docetaxel
Aortic Aneurysm,Abdominal or back pain - Pulsating sensation in abdomen - Shortness of breath - Hoarseness - Difficulty swallowing,Regular check-ups - Surgery - Blood pressure management - Healthy lifestyle,Beta blockers - ACE inhibitors
Dental Cavities,Toothache - Sensitivity to hot and cold - Bad breath - Discoloration of teeth,Dental hygiene practices - Fluoride treatment - Regular dental check-ups,Fluoride toothpaste - Amoxicillin
Gastroesophageal Reflux Disease (GERD),Heartburn - Regurgitation - Chest pain - Difficulty swallowing - Chronic cough,Lifestyle modifications - Medications - Surgery,PPIs (Proton Pump Inhibitors) - H2 blockers
Hyperthyroidism,Weight loss - Rapid heartbeat - Anxiety - Excessive sweating - Tremors,Anti-thyroid medications - Radioactive iodine therapy - Surgery,Methimazole - Propylthiouracil
Hypothyroidism,Fatigue - Weight gain - Dry skin - Cold intolerance - Depression,Thyroid hormone replacement therapy,Levothyroxine
Vitamin D Deficiency,Fatigue - Bone pain - Muscle weakness - Depression - Impaired wound healing,Sun exposure - Vitamin D supplements,Ergocalciferol - Cholecalciferol
Iron Deficiency Anemia,Fatigue - Weakness - Pale skin - Shortness of breath - Cold hands and feet,Iron-rich diet - Iron supplements - Vitamin C-rich foods,Ferrous sulfate - Iron polysaccharide
Sjögren's Syndrome,Dry eyes - Dry mouth - Joint pain - Fatigue - Swollen salivary glands,Artificial tears - Saliva substitutes - Medications - Dental care,Hydroxychloroquine - Cyclosporine
Hantavirus Pulmonary Syndrome,Fever - Muscle aches - Shortness of breath - Cough - Fatigue,Avoidance of rodent-infested areas - Rodent control - Supportive care,No specific drugs for treatment
Ankylosing Spondylitis,Lower back pain - Stiffness - Fatigue - Reduced flexibility - Hip pain,Exercise - Medications - Physical therapy,NSAIDs - TNF inhibitors
Chlamydia,Genital discharge - Painful urination - Abdominal pain - Pain during sex,Sexual education - Safe sex practices - Antibiotics,Azithromycin - Doxycycline
Gonorrhea,Genital discharge - Painful urination - Abdominal pain - Pain during sex,Sexual education - Safe sex practices - Antibiotics,Ceftriaxone - Azithromycin
Syphilis,Small painless sores - Rash - Fatigue - Fever - Hair loss,Sexual education - Safe sex practices - Antibiotics,Penicillin - Doxycycline
Trichomoniasis,Genital itching - Discharge - Painful urination - Odor,Sexual education - Safe sex practices - Antibiotics,Metronidazole - Tinidazole
Bacterial Vaginosis,Grayish-white vaginal discharge - Fishy odor - Itching - Burning during urination,Sexual education - Safe sex practices - Antibiotics,Metronidazole - Clindamycin
Pelvic Inflammatory Disease (PID),Pelvic pain - Abnormal vaginal discharge - Painful urination - Pain during sex - Fever,Early diagnosis and treatment - Antibiotics,Ceftriaxone - Doxycycline
Laryngitis,Hoarseness - Sore throat - Cough - Difficulty swallowing - Dry throat,Rest your voice - Hydration - Humidified air - Avoid irritants,Lossenges - Cough syrup
Gallstones,Abdominal pain - Jaundice - Nausea - Vomiting - Fever,Low-fat diet - Hydration - Medications - Surgery,Ursodeoxycholic acid - Cholecystectomy
Addisonian Crisis,Weakness - Fatigue - Nausea - Vomiting - Low blood pressure,Immediate medical attention - Intravenous fluids - Corticosteroids,Hydrocortisone - Dexamethasone
Pulmonary Embolism,Shortness of breath - Chest pain - Rapid heart rate - Coughing up blood - Sweating,Immediate medical attention - Blood thinners - Oxygen therapy,Heparin - Warfarin
Frostbite,Numbness - Tingling - Pale or hardened skin - Joint and muscle stiffness,Warm the affected area gradually - Avoid rubbing - Rewarm with warm water,Analgesics - Ibuprofen
Cervical Spondylosis,Neck pain - Stiffness - Headaches - Numbness or weakness in limbs,Neck exercises - Good posture - Medications - Physical therapy,NSAIDs - Muscle relaxants
Urinary Incontinence,Frequent urination - Sudden urge to urinate - Leakage of urine,Bladder training - Pelvic floor exercises - Medications - Incontinence products,Anticholinergics - Mirabegron
Costochondritis,Chest pain - Tenderness around the sternum - Pain exacerbated by movement or touch,Rest - Anti-inflammatory medications - Heat or ice therapy,NSAIDs - Acetaminophen
Achilles Tendinitis,Heel pain - Swelling - Stiffness - Tenderness,Rest - Ice therapy - Stretching exercises - Orthotic shoes,NSAIDs - Physical therapy
Dupuytren's Contracture,Thickening of the palm - Formation of lumps or cords - Finger contracture,Hand exercises - Stretching - Injections - Surgery,Collagenase injections - Needle aponeurotomy
Bursitis,Joint pain - Swelling - Stiffness - Redness - Limited range of motion,Rest - Ice therapy - Compression - Elevation,NSAIDs - Corticosteroid injections
Rotator Cuff Tear,Shoulder pain - Weakness - Limited range of motion,Rest - Ice therapy - Physical therapy - Shoulder exercises,NSAIDs - Corticosteroid injections
Labyrinthitis,Dizziness - Vertigo - Nausea - Hearing loss - Tinnitus,Rest - Medications for nausea - Vestibular rehabilitation - Avoid sudden movements,Meclizine - Dimenhydrinate
Shin Splints,Pain along the inner edge of the shinbone - Tenderness - Swelling,Rest - Ice therapy - Stretching - Proper footwear,NSAIDs - Compression sleeves
Esophageal Varices,Swollen veins in the esophagus - Difficulty swallowing - Vomiting blood - Black, tarry stools,Alcohol cessation - Medications - Endoscopic procedures - Liver transplant,Beta blockers - Octreotide
Gastroparesis,Nausea - Vomiting - Abdominal pain - Feeling full quickly - Weight loss,Dietary changes - Medications - Feeding tube - Surgery,Metoclopramide - Erythromycin
Myocarditis,Chest pain - Fatigue - Shortness of breath - Rapid or irregular heartbeats,Rest - Medications - Supportive care - Heart failure management,NSAIDs - ACE inhibitors
Pleurisy,Chest pain - Sharp or stabbing pain during breathing - Shortness of breath,Rest - Pain management - Treat underlying cause,NSAIDs - Antibiotics
Tinnitus,Ringing, buzzing, or hissing sound in the ears - Hearing loss - Dizziness,Avoid loud noises - Masking devices - Cognitive-behavioral therapy - Medications,Amitriptyline - Alprazolam
Pulmonary Hypertension,Shortness of breath - Fatigue - Chest pain - Rapid heartbeat,Medications - Oxygen therapy - Surgery - Lifestyle changes,Prostacyclin analogs - Endothelin receptor antagonists
Achalasia,Dysphagia - Regurgitation - Chest pain - Weight loss,Dilation - Botox injections - Medications - Surgery,Nitrates - Calcium channel blockers
Aplastic Anemia,Fatigue - Pale skin - Shortness of breath - Frequent infections - Easy bruising,Medications - Blood transfusions - Bone marrow transplant,ATG (Anti-thymocyte globulin) - Cyclosporine
Fibrous Dysplasia,Bone pain - Deformities - Fractures - Limited range of motion,Monitoring - Pain management - Surgery - Physical therapy,Bisphosphonates - Surgical intervention
Familial Hypercholesterolemia,Elevated cholesterol levels - Xanthomas (cholesterol deposits under the skin) - Premature heart disease,Cholesterol-lowering diet - Medications - Lifestyle changes,Statins - Ezetimibe
Ménière's Disease,Vertigo - Hearing loss - Tinnitus - Ear fullness,Low-sodium diet - Medications for vertigo - Stress management - Vestibular rehabilitation,Meclizine - Diazepam
Vulvodynia,Chronic vulvar pain - Burning or stinging sensation - Pain during intercourse,Topical anesthetics - Physical therapy - Medications - Psychotherapy,Amitriptyline - Gabapentin
Chronic Fatigue Syndrome,Severe fatigue - Sleep disturbances - Joint and muscle pain - Cognitive difficulties,Rest - Cognitive-behavioral therapy - Graded exercise therapy,Medications for symptom management
Mitral Valve Prolapse,Chest pain - Palpitations - Fatigue - Dizziness - Shortness of breath,Monitoring - Medications - Lifestyle changes - Regular check-ups,Beta blockers - Calcium channel blockers
Hashimoto's Thyroiditis,Fatigue - Weight gain - Dry skin - Hair loss - Cold intolerance,Thyroid hormone replacement therapy,Levothyroxine
Celiac Disease,Abdominal pain - Diarrhea - Bloating - Fatigue - Joint pain,Gluten-free diet - Avoid cross-contamination - Nutrient supplementation,Adalimumab - Infliximab
Eczema,Itchy skin - Red or brown patches - Dry, cracked skin - Swelling - Blisters,Moisturize regularly - Avoid irritants - Topical steroids - Antihistamines,Hydrocortisone - Desonide
Chronic Kidney Disease,Fatigue - Swelling - Shortness of breath - Confusion - Decreased urine output,Low-protein diet - Medications - Dialysis - Fluid control,Angiotensin-converting enzyme (ACE) inhibitors - Diuretics
Pancreatitis,Abdominal pain - Nausea - Vomiting - Fever - Rapid pulse,Fasting - Pain management - Nutritional support - Avoid alcohol and fatty foods,Morphine - Omeprazole
Dyslexia,Difficulty reading - Spelling challenges - Slow reading - Poor handwriting - Difficulty with phonics,Educational interventions - Reading programs - Speech therapy,No specific drugs for treatment
Autism Spectrum Disorder (ASD),Social challenges - Repetitive behaviors - Communication difficulties - Sensory sensitivities,Early intervention - Applied Behavior Analysis (ABA) - Speech therapy - Occupational therapy,No specific drugs for core symptoms
Chronic Lymphocytic Leukemia (CLL),Fatigue - Enlarged lymph nodes - Night sweats - Weight loss,Watchful waiting - Chemotherapy - Targeted therapy - Immunotherapy,Fludarabine - Ibrutinib
Cerebral Palsy,Muscle stiffness - Weakness - Poor coordination - Speech difficulties - Seizures,Physical therapy - Occupational therapy - Speech therapy - Assistive devices,Baclofen - Diazepam
Hypoparathyroidism,Tingling in extremities - Muscle cramps - Fatigue - Dry skin - Abdominal pain,Calcium supplements - Vitamin D supplements - Magnesium supplements,Calcitriol - Alfacalcidol
Brucellosis,Fever - Sweating - Fatigue - Joint pain - Headache,Avoid unpasteurized dairy products - Antibiotics - Animal vaccination,Doxycycline - Rifampin
Strep Throat,Sore throat - Fever - Headache - Swollen tonsils - Difficulty swallowing,Antibiotics - Rest - Hydration - Throat lozenges,Penicillin - Amoxicillin
Carpal Tunnel Syndrome,Numbness or tingling in fingers - Hand weakness - Pain radiating up the arm,Rest - Wrist splints - Corticosteroid injections - Surgery,NSAIDs - Gabapentin
Addison's Disease,Chronic fatigue - Weight loss - Muscle weakness - Low blood pressure - Darkening of skin,Adequate salt intake - Hormone replacement therapy,Hydrocortisone - Fludrocortisone
Diabetic Neuropathy,Numbness or tingling in extremities - Loss of sensation - Burning pain - Muscle weakness,Blood sugar control - Medications - Foot care - Physical therapy,Gabapentin - Pregabalin
Hemorrhagic Stroke,Sudden severe headache - Weakness or numbness on one side - Confusion - Difficulty speaking,Immediate medical attention - Rehabilitation - Medications for prevention,Aspirin - Clopidogrel
Bulging Disc,Back or neck pain - Numbness or tingling - Weakness - Radiating pain,Rest - Physical therapy - Medications - Heat or ice therapy,NSAIDs - Muscle relaxants
Dissociative Identity Disorder (DID),Memory gaps - Identity shifts - Distinct personalities - Mood swings,Psychotherapy - Supportive care - Medications for co-occurring conditions,Selective serotonin reuptake inhibitors (SSRIs) - Antipsychotics
Chronic Pancreatitis,Abdominal pain - Nausea - Vomiting - Weight loss - Steatorrhea (fatty stools),Low-fat diet - Pancreatic enzyme supplements - Abstinence from alcohol - Pain management,Omeprazole - Pancrelipase
Pulmonary Edema,Shortness of breath - Cough - Rapid breathing - Pink or frothy sputum,Immediate medical attention - Oxygen therapy - Diuretics - Positioning,Furosemide - Nitroglycerin
Stevens-Johnson Syndrome,Skin rash - Blistering - Fever - Joint pain - Lesions on mucous membranes,Hospitalization - Supportive care - Medications - Avoidance of triggering drugs,Corticosteroids - Intravenous immunoglobulin
Granulomatosis with Polyangiitis (GPA),Sinusitis - Shortness of breath - Cough - Fatigue - Joint pain,Immunosuppressive therapy - Steroids - Rituximab - Plasmapheresis,Cyclophosphamide - Methotrexate
Toxoplasmosis,Fever - Muscle aches - Headache - Swollen lymph nodes - Fatigue,Cook meat thoroughly - Wash fruits and vegetables - Avoid contact with cat feces,Pyrithiamine - Sulfadiazine
Huntington's Disease,Chorea (involuntary movements) - Cognitive decline - Behavioral changes - Difficulty swallowing - Weight loss,Symptomatic treatment - Supportive care - Genetic counseling,No specific drugs for disease modification
Brugada Syndrome,Irregular heartbeat - Fainting - Sudden cardiac arrest,Implantable cardioverter-defibrillator (ICD) - Avoidance of triggers - Medications,Quinidine - Isoproterenol
Ménière's Disease,Vertigo - Hearing loss - Tinnitus - Ear fullness,Low-sodium diet - Medications for vertigo - Stress management - Vestibular rehabilitation,Meclizine - Diazepam
Hypoplastic Left Heart Syndrome (HLHS),Cyanosis (bluish skin) - Rapid breathing - Poor feeding - Cold extremities,Surgery - Medications - Oxygen therapy,Prostaglandin E1 - Diuretics
Neurofibromatosis,Skin tumors - Café-au-lait spots - Bone deformities - Learning disabilities,Regular check-ups - Surgery - Medications for symptom management,Aspirin - Statins
Amyloidosis,Fatigue - Swelling - Weight loss - Shortness of breath - Kidney dysfunction,Medications - Chemotherapy - Stem cell transplant - Supportive care,Bortezomib - Melphalan
Pulmonary Hypertension,Shortness of breath - Fatigue - Chest pain - Rapid heartbeat,Medications - Oxygen therapy - Surgery - Lifestyle changes,Prostacyclin analogs - Endothelin receptor antagonists
Pemphigus,Blistering of the skin and mucous membranes - Painful sores - Itching - Ulceration,Immunosuppressive therapy - Steroids - Medications for wound care,Prednisone - Rituximab
Arnold-Chiari Malformation,Headache - Neck pain - Dizziness - Difficulty swallowing - Weakness,Medications for pain management - Surgery - Physical therapy,Acetaminophen - Gabapentin
Ventricular Septal Defect (VSD),Heart murmur - Rapid breathing - Poor weight gain - Fatigue,Surgery - Medications - Monitoring,Diuretics - ACE inhibitors
Cystic Fibrosis,Chronic cough - Recurrent lung infections - Difficulty breathing - Malabsorption,Medications - Chest physiotherapy - Oxygen therapy - Lung transplant,Ivacaftor - Dornase alfa
Hemochromatosis,Fatigue - Joint pain - Abdominal pain - Liver dysfunction - Diabetes,Phlebotomy - Iron-chelating medications - Dietary changes - Monitoring,Deferoxamine - Deferasirox
